,date,open,close,high,low,volume,code
0,2008-01-02,5.995,6.481,6.481,5.879,196967.18,600318
1,2008-01-04,6.481,6.486,6.797,6.17,137027.47,600318
2,2008-01-07,6.365,6.496,6.681,6.204,106630.59,600318
3,2008-01-08,6.428,6.136,6.545,5.927,147425.69,600318
4,2008-01-09,6.068,6.545,6.651,6.068,107919.9,600318
5,2008-01-10,6.501,6.399,6.778,6.37,92437.78,600318
6,2008-01-11,6.404,6.603,6.729,6.34,86023.78,600318
7,2008-01-14,6.549,6.564,6.676,6.365,52184.74,600318
8,2008-01-15,6.506,6.953,7.215,6.506,128668.43,600318
9,2008-01-16,6.904,7.147,7.404,6.763,117971.7,600318
10,2008-01-17,7.239,7.861,7.861,7.239,235158.09,600318
11,2008-01-21,7.764,7.074,7.764,7.074,126479.68,600318
12,2008-01-22,6.511,6.365,6.511,6.365,26066.0,600318
13,2008-01-23,5.835,6.661,6.865,5.738,171904.3,600318
14,2008-01-24,6.462,6.511,6.875,6.224,120153.73,600318
15,2008-01-25,6.511,6.17,6.598,6.151,88558.21,600318
16,2008-01-28,6.112,5.553,6.112,5.553,68083.08,600318
17,2008-01-29,5.466,5.641,5.782,5.199,56770.69,600318
18,2008-01-30,5.636,5.845,5.966,5.549,69699.67,600318
19,2008-01-31,5.723,5.374,5.927,5.335,36655.09,600318
20,2008-02-01,5.267,5.704,5.753,4.859,81365.99,600318
21,2008-02-04,5.787,6.253,6.258,5.782,66877.15,600318
22,2008-02-05,6.311,6.127,6.311,6.054,43538.48,600318
23,2008-02-13,6.132,6.603,6.739,6.034,88092.94,600318
24,2008-02-14,6.583,6.647,6.724,6.472,52403.18,600318
25,2008-02-15,6.559,6.749,6.841,6.52,73280.86,600318
26,2008-02-18,6.831,6.982,7.06,6.7,70431.55,600318
27,2008-02-19,6.987,6.909,7.069,6.802,53504.83,600318
28,2008-02-20,6.899,6.632,6.899,6.579,72374.74,600318
29,2008-02-21,6.559,6.719,6.899,6.515,52296.43,600318
30,2008-02-22,6.656,6.263,6.681,6.136,54812.7,600318
31,2008-02-25,6.316,5.932,6.447,5.884,37491.17,600318
32,2008-02-26,6.151,6.136,6.253,5.685,39529.36,600318
